mfp	p1	p2	p3	p4	p5	p6
1	0.324966	0.235549	0.210883	0.212597	0.211942	0.21139
1.189207115	0.330174	0.254007	0.214247	0.212024	0.21239	0.211943
1.414213562	0.348333	0.289533	0.231352	0.212355	0.214867	0.211854
1.681792831	0.357712	0.318828	0.265219	0.224189	0.211125	0.212507
2	0.371657	0.340489	0.286157	0.250442	0.220338	0.213979
2.37841423	0.380299	0.371737	0.313855	0.27241	0.248581	0.223642
2.828427125	0.388385	0.382071	0.344166	0.298757	0.265492	0.24079
3.363585661	0.395245	0.394152	0.374319	0.327805	0.297028	0.270887
4	0.403315	0.409586	0.400822	0.356097	0.329573	0.296211
4.75682846	0.410429	0.41489	0.406303	0.379611	0.349488	0.322845
5.656854249	0.418149	0.419581	0.421267	0.410597	0.37851	0.346396
6.727171322	0.425454	0.425717	0.428903	0.423022	0.402671	0.377472
8	0.432549	0.430707	0.44242	0.440007	0.428242	0.399904
9.51365692	0.438245	0.436235	0.441544	0.452416	0.449732	0.418769
11.3137085	0.445161	0.440524	0.442935	0.451213	0.455294	0.446278
13.45434264	0.451165	0.443647	0.446749	0.454978	0.455433	0.461946
16	0.455823	0.450033	0.450518	0.458193	0.467849	0.469227
19.02731384	0.459035	0.452383	0.451045	0.460737	0.467673	0.470711
22.627417	0.463837	0.454	0.454864	0.461189	0.467983	0.47407
26.90868529	0.467887	0.459891	0.457882	0.463282	0.468571	0.47638
32	0.468419	0.463892	0.46424	0.465001	0.472903	0.474104
38.05462768	0.465016	0.465547	0.461363	0.467698	0.469254	0.47375
45.254834	0.473407	0.464557	0.470322	0.466645	0.469765	0.479543
53.81737058	0.473048	0.473349	0.470523	0.471407	0.472169	0.477289
64	0.474781	0.473454	0.471628	0.474155	0.478776	0.480349
76.10925536	0.479085	0.472791	0.471822	0.474648	0.478173	0.477148
90.50966799	0.478632	0.477031	0.474008	0.477931	0.478867	0.481341
107.6347412	0.480083	0.47823	0.47862	0.477807	0.482385	0.481125
128	0.480119	0.478576	0.480611	0.483565	0.481221	0.485961
152.2185107	0.480716	0.482106	0.48145	0.482116	0.483815	0.484526
181.019336	0.482359	0.481668	0.481941	0.484125	0.482958	0.485793
215.2694823	0.482845	0.479947	0.482254	0.482929	0.481666	0.487832
256	0.48093	0.483573	0.481614	0.485005	0.486145	0.488021
304.4370214	0.484015	0.482067	0.48478	0.483345	0.48698	0.488627
362.038672	0.479116	0.482023	0.484764	0.487597	0.48471	0.486846
430.5389646	0.482553	0.481632	0.482853	0.485231	0.485261	0.488334
512	0.475746	0.484002	0.482513	0.487478	0.489435	0.487104
608.8740429	0.473223	0.486577	0.484274	0.482707	0.48536	0.488157
724.0773439	0.479249	0.485026	0.484192	0.482658	0.487236	0.487179
861.0779292	0.467887	0.483953	0.483581	0.484907	0.484378	0.486619
1024	0.466207	0.478952	0.483242	0.484636	0.483834	0.486097
1448.154688	0.45368	0.478298	0.478727	0.484252	0.484604	0.488339
2048	0.452599	0.467146	0.480057	0.482439	0.484069	0.489007
2896.309376	0.457	0.474185	0.473699	0.475804	0.478814	0.489448
4096	0.440153	0.46751	0.471431	0.477942	0.485114	0.486195
5792.618751	0.422021	0.458698	0.457521	0.472041	0.471901	0.477993
8192	0.399482	0.446408	0.46611	0.458765	0.467074	0.469771
11585.2375	0.370981	0.432711	0.460487	0.453702	0.477619	0.486152
16384	0.338551	0.412019	0.447329	0.46312	0.449916	0.47049
23170.47501	0.30141	0.386464	0.429633	0.452557	0.461218	0.469083
32768	0.260835	0.356228	0.406789	0.433059	0.446992	0.464598
46340.95001	0.219915	0.320207	0.379088	0.412105	0.434218	0.44797
65536	0.180487	0.280555	0.345189	0.387533	0.4163	0.436541
92681.90002	0.143892	0.238863	0.306833	0.356739	0.389569	0.414104
131072	0.11192	0.197126	0.267911	0.319912	0.358707	0.387661
185363.8	0.0853496	0.158341	0.226701	0.28087	0.322402	0.355925
262144	0.0638931	0.124285	0.184784	0.23841	0.282976	0.318682
370727.6001	0.047072	0.095137	0.147313	0.197041	0.241024	0.278717
524288	0.0343614	0.0714431	0.114195	0.157701	0.199514	0.236294
741455.2002	0.0248862	0.0529036	0.0867977	0.12332	0.160304	0.19458
1048576	0.0180459	0.0386293	0.0647483	0.0943022	0.125034	0.156542
