mfp	p1	p2	p3	p4	p5	p6
0.0625	0.551	0.551	NaN	NaN	NaN	NaN
0.125	0.552	0.551	0.551	NaN	NaN	NaN
0.25	0.554	0.551	0.551	0.551	0.551	0.551
0.5	0.56	0.551	0.551	0.551	0.551	0.551
1	0.576	0.552	0.551	0.551	0.551	0.551
1.189207115	0.585	0.555	0.553	0.553	0.553	0.553
1.414213562	0.593	0.559	0.555	0.555	0.555	0.555
1.681792831	0.6	0.564	0.556	0.556	0.556	0.556
2	0.607	0.57	0.557	0.557	0.557	0.557
2.37841423	0.609	0.578	0.559	0.558	0.558	0.558
2.828427125	0.606	0.59	0.561	0.558	0.558	0.558
3.363585661	0.596	0.602	0.565	0.559	0.559	0.559
4	0.578	0.616	0.572	0.56	0.559	0.559
4.75682846	0.55	0.628	0.583	0.562	0.559	0.559
5.656854249	0.512	0.637	0.597	0.566	0.559	0.559
6.727171322	0.462	0.642	0.613	0.575	0.561	0.559
8	0.398	0.641	0.628	0.588	0.565	0.559
9.51365692	0.322	0.632	0.642	0.604	0.573	0.561
11.3137085	0.241	0.615	0.652	0.621	0.585	0.565
13.45434264	0.16	0.588	0.656	0.648	0.602	0.574
16	0.23	0.55	0.655	0.652	0.62	0.589
19.02731384	0.2	0.5	0.645	0.661	0.638	0.607
22.627417	0.18	0.437	0.626	0.665	0.653	0.626
26.90868529	0.16	0.362	0.598	0.662	0.664	0.644
32	0.14	0.277	0.559	0.651	0.67	0.659
38.05462768	0.12	0.2	0.508	0.632	0.669	0.669
45.254834	0.11	0.22	0.444	0.602	0.661	0.674
53.81737058	0.09	0.24	0.368	0.561	0.644	0.673
64	0.08	0.21	0.283	0.509	0.617	0.663
76.10925536	0.074	0.19	0.21	0.444	0.58	0.645
90.50966799	0.065	0.16	0.24	0.367	0.531	0.617
107.6347412	0.058	0.14	0.262	0.282	0.47	0.579
128	0.05	0.12	0.228	0.2	0.396	0.529
152.2185107	0.044	0.11	0.198	0.257	0.314	0.461
181.019336	0.04	0.09	0.172	0.269	0.234	0.393
215.2694823	0.035	0.08	0.15	0.233	0.22	0.31
256	0.032	0.07	0.13	0.202	0.288	0.232
304.4370214	0.029	0.06	0.11	0.175	0.249	0.23
362.038672	0.026	0.054	0.1	0.152	0.216	0.29
430.5389646	0.025	0.046	0.08	0.132	0.186	0.25
512	0.021	0.04	0.072	0.11	0.161	0.216
608.8740429	0.02	0.036	0.062	0.1	0.14	0.19
724.0773439	0.02	0.032	0.05	0.08	0.119	0.16
861.0779292	0.019	0.028	0.045	0.07	0.102	0.137
1024	0.018	0.025	0.04	0.06	0.087	0.12
1448.154688	0.016	0.022	0.03	0.04	0.06	0.08
2048	0.014	0.019	0.025	0.033	0.045	0.06
2896.309376	0.013	0.018	0.021	0.026	0.034	0.04
4096	0.012	0.016	0.018	0.022	0.027	0.033
5792.618751	0.01	0.015	0.017	0.019	0.022	0.026
8192	0.009	0.016	0.016	0.018	0.019	0.022
11585.2375	0.008	0.014	0.015	0.016	0.018	0.019
16384	0.008	0.0124	0.014	0.015	0.016	0.018
23170.47501	0.009	0.011	0.013	0.014	0.015	0.016
32768	0.007	0.009	0.011	0.013	0.014	0.015
46340.95001	0.005	0.008	0.01	0.012	0.013	0.014
65536	0.004	0.0065	0.009	0.01	0.012	0.013
92681.90002	0.003	0.005	0.007	0.009	0.01	0.011
131072	0.002	0.004	0.006	0.007	0.009	0.01
185363.8	0.0015	0.003	0.005	0.006	0.007	0.009
262144	0.0013	0.003	0.0035	0.005	0.006	0.007
370727.6001	0.0009	0.0017	0.003	0.004	0.005	0.006
524288	0.0007	0.0012	0.002	0.003	0.004	0.005
741455.2002	0.0005	0.0009	0.001	0.002	0.003	0.004
1048576	0.0003	0.0007	0.001	0.002	0.002	0.003
