mfp	p1	p2	p3	p4	p5	p6
0.951365692	0.562	0.551	0.55	0.55	0.55	0.55
1.13137085	0.565	0.555	0.553	0.553	0.553	0.553
1.345434264	0.567	0.558	0.554	0.554	0.554	0.554
1.6	0.566	0.563	0.556	0.556	0.556	0.556
1.902731384	0.564	0.568	0.557	0.557	0.557	0.557
2.2627417	0.56	0.575	0.559	0.558	0.558	0.557
2.690868529	0.544	0.582	0.563	0.558	0.558	0.558
3.2	0.544	0.585	0.568	0.559	0.558	0.558
3.805462768	0.529	0.588	0.575	0.56	0.558	0.558
4.5254834	0.507	0.59	0.584	0.563	0.558	0.558
5.381737058	0.477	0.591	0.59	0.57	0.559	0.558
6.4	0.437	0.591	0.598	0.578	0.563	0.558
7.610925536	0.387	0.589	0.603	0.589	0.568	0.56
9.050966799	0.326	0.586	0.604	0.6	0.578	0.563
10.76347412	0.27	0.575	0.604	0.608	0.59	0.571
12.8	0.27	0.556	0.605	0.612	0.603	0.582
15.22185107	0.317	0.529	0.605	0.613	0.612	0.596
18.1019336	0.33	0.49	0.602	0.613	0.617	0.608
21.52694823	0.282	0.44	0.592	0.614	0.619	0.617
25.6	0.244	0.378	0.573	0.614	0.619	0.621
30.44370214	0.212	0.333	0.544	0.611	0.62	0.623
36.2038672	0.18	0.352	0.507	0.599	0.62	0.623
43.05389646	0.161	0.355	0.456	0.58	0.618	0.616
51.2	0.14	0.375	0.38	0.55	0.609	0.607
60.88740429	0.12	0.32	0.374	0.51	0.58	0.612
72.40773439	0.11	0.275	0.397	0.457	0.569	0.613
86.10779292	0.09	0.238	0.38	0.404	0.533	0.597
102.4	0.08	0.207	0.402	0.4	0.485	0.57
144.8154688	0.062	0.156	0.295	0.403	0.417	0.485
204.8	0.047	0.12	0.219	0.356	0.421	0.429
289.6309376	0.036	0.088	0.164	0.262	0.387	0.432
409.6	0.029	0.066	0.122	0.195	0.283	0.39
579.2618751	0.024	0.05	0.09	0.15	0.209	0.286
819.2	0.02	0.038	0.066	0.105	0.15	0.21
1158.52375	0.02	0.03	0.048	0.076	0.11	0.154
